"category","rank","titles","prices"
"Arts Photography",1,"The 5 Love Languages: The Secret to Love that Lasts","$9.59"
"Arts Photography",2,"Born a Crime: Stories from a South African Childhood","$0.00 with Trial"
"Arts Photography",3,"The Anthology Part 1 Limited Edition","$24.99"
"Arts Photography",4,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","$9.79"
"Arts Photography",5,"The Autobiography of Gucci Mane","$16.20"
"Arts Photography",6,"Obama: An Intimate Portrait","$28.99"
"Arts Photography",7,"Eat What You Watch: A Cookbook for Movie Lovers","$15.00"
"Arts Photography",8,"Al Franken, Giant of the Senate","$0.00 with Trial"
"Arts Photography",9,"The Autobiography of Gucci Mane","$0.00 with Trial"
"Arts Photography",10,"Go the F**k to Sleep","$11.96"
"Arts Photography",11,"Adult Coloring Book: Stress Relieving Animal Designs","$5.99"
"Arts Photography",12,"Q&A a Day: 5-Year Journal","$13.87"
"Arts Photography",13,"Black Privilege: Opportunity Comes to Those Who Create It","$0.00 with Trial"
"Arts Photography",14,"Al Franken, Giant of the Senate","$14.99"
"Arts Photography",15,"Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine","$19.46"
"Arts Photography",16,"Calm the F*ck Down: An Irreverent Adult Coloring Book","$5.14"
"Arts Photography",17,"Born a Crime: Stories from a South African Childhood","$14.99"
"Arts Photography",18,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","$4.99"
"Arts Photography",19,"Go F*ck Yourself, I'm Coloring: Swear Word Coloring Book","$5.39"
"Arts Photography",20,"Reckless Daughter: A Portrait of Joni Mitchell","$20.74"
"Arts Photography",21,"Bossypants","$0.00 with Trial"
"Arts Photography",22,"Lettering For Beginners: A Creative Lettering How To Guide With Alphabet Guides, Projects And Practice Pages","$6.29"
"Arts Photography",23,"Chasing Light: Michelle Obama Through the Lens of a White House Photographer","$22.35"
"Arts Photography",24,"Al Franken, Giant of the Senate","$19.77"
"Arts Photography",25,"The Legend of Zelda Encyclopedia","$23.99"
"Arts Photography",26,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","$0.00 with Trial"
"Arts Photography",27,"Pusheen the Cat 2018 Wall Calendar","$9.41"
"Arts Photography",28,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation’s Largest Home","$18.30"
"Arts Photography",29,"Hamilton: The Revolution","$28.08"
"Arts Photography",30,"Make Life Your Bitch: Motivational adult coloring book. Turn your stress into success! (Midnight Edition)","$4.49"
"Arts Photography",31,"Born a Crime: Stories from a South African Childhood","$19.17"
"Arts Photography",32,"Essential Elements for Strings - Book 1 with EEi: Violin","$5.79"
"Arts Photography",33,"First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers","$16.19"
"Arts Photography",34,"Swear Word Coloring Book: The Jungle Adult Coloring Book featured with Sweary Words & Animals","$4.04"
"Arts Photography",35,"A Simplified Life: Tactical Tools for Intentional Living","$12.21"
"Arts Photography",36,"How to Draw People (Dover How to Draw)","$3.56"
"Arts Photography",37,"The Anatomy Coloring Book","$18.49"
"Arts Photography",38,"The Art of Overwatch Limited Edition","$60.00"
"Arts Photography",39,"Adult All-In-One Course: Lesson-Theory-Technic: Level 1","$11.55"
"Arts Photography",40,"Searching for Dave Chappelle (Kindle Single)","$2.99"
"Arts Photography",41,"The Art of Overwatch","$31.44"
"Arts Photography",42,"Easy Origami (Dover Origami Papercraft)over 30 simple projects","$2.87"
"Arts Photography",43,"Teaching Little Fingers to Play: A Book for the Earliest Beginner (John Thompsons Modern Course for The Piano)","$4.05"
"Arts Photography",44,"Petty: The Biography","$10.43"
"Arts Photography",45,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation's Largest Home","$14.99"
"Arts Photography",46,"F*ck, That's Delicious: An Annotated Guide to Eating Well","$20.25"
"Arts Photography",47,"Primer Level - Lesson Book: Piano Adventures","$6.79"
"Arts Photography",48,"Rolling Stone Tom Petty, 1950-2017: The Ultimate Guide to His Music & Legend","$13.49"
"Arts Photography",49,"Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners","$6.99"
"Arts Photography",50,"Black Privilege: Opportunity Comes to Those Who Create It","$12.99"
